size_m2,bedrooms,age_years,distance_km,has_garage,neighborhood_quality,price_million_idr
65.7,3,4.2,0.57,1,2,166.66
122.4,3,51.0,8.24,0,4,77.71
82.8,1,47.6,14.88,1,3,95.06
136.6,7,4.3,0.2,0,3,196.44
87.8,2,6.4,11.61,0,1,114.2
174.2,3,33.9,10.81,1,3,186.7
92.6,4,51.0,10.33,1,3,99.56
108.7,3,8.8,18.3,1,3,143.73
148.5,6,5.8,12.68,0,4,230.98
76.9,5,11.2,21.82,0,2,100.63
128.0,2,17.5,2.05,0,2,107.62
165.7,1,4.8,11.09,1,4,169.96
63.7,5,20.0,10.68,0,5,139.18
126.5,3,0.8,1.45,1,2,167.92
129.1,5,0.8,17.65,0,3,176.26
147.4,1,7.3,28.6,1,2,34.29
76.7,3,6.5,9.86,1,1,100.46
73.8,3,5.7,14.04,1,3,99.38
138.3,3,10.1,10.68,0,2,113.7
130.4,2,5.8,4.29,0,4,148.41
128.8,1,3.2,0.2,1,3,161.48
132.1,4,5.6,4.35,1,2,66.01
96.2,1,55.3,0.2,0,1,52.78
128.1,7,7.9,23.63,1,4,155.18
130.3,2,8.8,9.08,0,2,143.08
95.0,3,12.9,7.23,1,3,114.31
185.3,3,61.4,17.11,1,3,155.29
136.6,6,4.1,1.03,0,3,255.9
78.3,2,17.2,3.87,0,3,139.24
143.0,1,18.9,10.54,1,1,142.65
85.9,5,14.0,18.23,1,2,93.13
147.5,2,1.4,14.01,0,2,148.6
160.6,6,16.9,11.99,1,3,199.98
91.3,3,1.0,10.62,0,3,115.08
153.7,4,13.6,13.2,1,2,177.46
134.4,2,20.2,11.61,1,1,97.52
148.8,1,3.6,1.76,0,3,212.63
186.4,3,27.6,10.37,0,3,179.56
111.4,5,0.5,1.41,1,5,240.92
93.6,3,27.9,10.65,0,3,153.02
88.9,2,9.3,6.15,1,3,159.03
91.4,3,3.7,30.32,1,3,40.26
117.3,3,2.2,9.68,0,5,186.91
131.9,2,46.0,0.2,0,4,187.59
129.7,2,1.1,8.93,0,3,172.62
149.0,3,3.3,14.15,1,2,120.71
120.5,2,6.4,23.39,1,2,76.98
170.9,1,14.5,5.28,1,3,213.06
110.7,2,11.8,0.2,1,4,151.33
215.2,4,2.0,16.53,0,3,205.83
141.9,4,5.1,0.2,1,1,224.73
90.0,4,4.1,6.51,0,4,152.24
82.5,3,3.6,7.94,1,4,124.56
136.9,3,7.9,9.44,1,2,127.6
112.2,1,18.3,15.51,1,3,118.81
145.0,4,3.7,4.53,1,3,159.83
136.6,2,6.9,7.81,1,4,170.88
117.5,2,7.4,9.89,0,4,155.52
90.4,2,56.2,11.2,1,3,132.16
67.0,6,46.4,10.78,0,3,128.45
104.4,1,24.2,13.49,1,4,98.28
150.0,2,4.1,16.75,0,3,176.38
127.5,2,1.1,13.14,1,3,136.63
76.4,2,5.7,13.63,0,4,67.12
126.1,5,4.7,0.2,1,2,184.86
133.5,3,10.6,10.4,0,3,193.64
89.1,1,22.6,13.84,0,4,100.34
125.4,3,29.3,15.83,1,4,148.44
122.0,5,28.0,4.46,1,3,228.62
80.0,4,6.7,4.73,1,2,87.89
132.5,4,17.4,5.41,0,3,130.21
139.6,5,5.6,14.29,1,2,116.68
157.9,2,0.9,18.27,1,2,153.36
156.9,3,18.1,6.74,1,4,206.58
71.8,2,0.1,17.26,1,2,122.47
87.2,7,7.9,10.99,0,3,160.63
138.0,3,6.0,9.01,1,3,159.79
138.0,4,17.7,8.31,0,5,195.8
138.0,5,21.8,15.97,0,3,158.12
254.8,4,5.4,12.6,1,1,186.49
140.0,3,25.0,28.21,0,1,155.26
159.7,3,5.2,3.18,1,3,219.83
153.4,1,8.9,14.14,0,3,144.22
142.8,4,19.5,5.77,1,3,205.54
109.0,4,17.7,3.05,0,3,176.99
146.6,3,65.6,9.91,1,1,112.47
93.0,2,3.8,11.1,1,3,102.76
111.7,5,16.3,33.35,1,3,122.85
103.0,1,14.1,8.53,1,2,117.61
122.9,7,37.0,0.96,0,2,153.1
201.0,3,2.6,12.18,1,2,243.65
54.6,4,20.9,0.2,0,2,111.57
144.0,2,12.6,9.26,1,3,184.65
63.6,1,4.8,10.13,0,2,104.87
103.5,4,9.6,16.36,1,2,119.73
158.1,3,6.1,17.79,1,2,160.48
122.2,4,13.0,5.97,1,5,227.68
82.3,3,33.0,8.8,0,4,95.6
95.0,1,12.6,3.87,1,2,113.6
143.8,1,15.0,0.98,0,3,163.86
94.4,3,11.0,12.48,0,2,70.18
127.6,2,0.8,0.2,1,3,247.7
121.6,6,4.0,6.68,0,1,111.36
97.2,2,10.2,2.04,1,3,105.64
195.0,4,5.6,14.4,1,3,253.68
142.2,3,3.0,24.41,0,4,162.61
49.1,7,10.5,0.2,0,2,102.76
126.5,5,5.8,0.2,0,4,226.02
96.8,4,4.5,9.0,1,4,208.76
149.8,1,9.4,10.13,1,2,140.97
92.3,6,2.1,11.75,1,3,238.33
116.0,1,39.4,6.43,0,2,45.29
137.7,2,30.3,8.39,1,2,156.8
150.3,1,18.4,12.94,0,2,153.66
78.0,3,1.7,18.32,1,3,129.48
108.3,2,22.4,0.2,1,3,145.79
103.4,1,24.8,7.05,1,5,140.99
97.1,1,21.9,11.71,1,2,102.8
181.8,1,1.8,2.66,1,5,259.36
134.2,1,15.5,23.85,0,2,98.05
75.9,5,27.0,4.92,0,4,176.12
152.1,2,12.9,9.67,1,3,137.5
194.3,6,15.6,14.45,1,2,206.67
156.1,2,9.2,5.27,1,4,170.94
66.8,5,11.3,0.2,0,3,130.73
103.1,2,0.5,6.57,1,3,173.21
164.3,1,15.3,18.24,0,3,136.48
95.2,1,1.3,7.3,1,3,202.49
135.5,2,8.6,3.23,1,3,178.88
147.1,3,5.2,17.41,0,4,163.37
87.6,2,11.8,7.35,1,1,95.93
117.9,1,2.1,5.92,1,3,126.33
30.0,5,17.6,11.2,1,4,107.45
84.1,5,23.8,16.17,1,1,125.85
111.2,2,2.7,29.05,1,2,80.38
76.3,1,1.7,16.62,0,4,64.89
177.1,3,2.4,19.28,0,3,139.58
69.9,1,31.4,5.95,1,3,78.84
104.6,2,11.3,1.79,0,2,125.78
124.6,6,9.4,10.5,1,3,221.5
170.4,7,1.7,10.86,1,2,180.15
69.7,3,15.7,1.37,1,3,121.91
160.7,3,30.4,8.6,1,4,198.22
120.4,3,26.4,13.19,1,2,67.08
85.6,1,14.8,12.88,0,3,58.92
136.2,3,1.2,14.03,1,5,169.87
127.0,4,1.8,12.33,1,3,142.98
99.0,4,0.8,5.94,1,4,181.71
122.4,1,4.5,5.89,0,3,131.18
106.5,3,2.2,0.41,0,4,156.44
124.0,1,4.5,24.28,1,1,86.06
143.2,2,7.3,10.11,1,2,199.32
175.5,4,43.0,8.2,1,2,229.6
76.7,6,14.1,2.57,1,3,107.16
194.7,3,27.0,33.49,1,4,177.81
51.7,2,18.6,1.41,1,3,100.17
114.7,4,1.8,6.57,1,3,176.09
140.6,2,20.0,13.33,1,4,149.22
129.8,4,4.8,14.8,1,3,164.98
98.2,2,15.3,17.66,0,3,96.3
112.7,6,6.3,24.46,0,3,113.52
102.7,2,90.9,14.05,1,3,51.71
99.4,1,4.6,1.55,1,1,96.86
149.7,5,4.9,7.94,1,5,241.5
132.5,3,40.0,12.46,1,2,144.79
95.7,2,0.4,26.55,0,1,70.65
151.5,5,17.9,0.2,1,4,218.92
130.8,4,19.4,19.62,0,3,139.38
148.5,4,27.2,11.44,0,3,190.46
142.0,7,55.0,16.7,1,3,206.34
91.0,2,55.7,9.18,1,3,97.21
100.4,2,1.0,3.26,1,2,127.03
146.2,5,25.9,16.01,1,3,176.7
141.4,4,15.6,15.24,1,3,129.72
119.3,3,15.6,17.78,1,4,139.35
124.1,2,2.1,9.89,0,3,160.86
164.7,4,15.8,5.2,1,5,257.15
99.3,4,60.7,0.2,1,1,107.49
139.1,5,36.4,16.55,0,3,153.25
112.9,1,8.7,13.39,0,3,82.78
112.4,2,0.6,2.27,1,5,212.02
158.5,1,6.7,5.69,0,1,131.83
148.9,4,26.3,6.27,1,3,179.04
148.5,1,18.1,0.2,1,4,180.36
165.7,3,9.2,3.46,1,2,189.41
120.7,1,0.9,0.93,1,4,162.4
143.9,2,8.4,6.7,0,1,148.91
109.1,5,9.5,4.09,0,4,170.48
131.3,4,39.6,0.2,0,5,247.57
115.4,3,15.4,26.18,1,3,150.18
123.4,3,5.6,20.02,1,3,106.12
140.8,5,11.2,3.77,1,1,176.75
91.4,3,1.0,12.18,1,5,139.61
193.2,2,53.9,13.34,0,3,149.47
84.8,1,6.7,19.53,0,1,100.73
77.5,2,9.7,3.45,1,3,116.27
160.5,1,6.6,18.74,1,3,156.1
147.7,2,17.2,5.62,1,2,173.76
141.8,1,16.3,0.2,1,2,126.82
142.0,3,18.8,15.79,1,1,96.04
119.6,3,4.7,20.33,1,3,93.32
88.6,6,5.7,30.7,1,3,81.69
122.7,5,2.0,0.4,1,3,117.61
96.3,6,16.0,15.59,1,4,178.41
154.1,1,0.6,6.72,1,4,249.82
114.9,2,13.7,16.27,0,3,113.82
91.1,4,30.6,0.2,1,1,81.61
108.8,2,33.2,0.2,0,3,115.61
134.5,1,8.9,3.79,1,3,146.84
100.3,4,9.2,10.63,1,3,115.5
91.2,4,1.2,4.87,1,3,183.0
128.5,1,16.7,15.27,1,3,147.62
128.6,4,25.8,18.22,0,5,124.74
102.3,3,4.2,14.8,1,2,136.46
103.5,1,8.2,22.95,0,3,122.14
128.1,2,27.4,13.33,0,1,147.57
69.3,1,31.4,0.26,1,5,222.02
70.7,2,4.2,20.91,1,2,37.17
94.9,2,12.0,5.16,0,1,176.71
112.5,3,3.2,17.28,1,3,121.59
130.9,4,1.6,22.59,0,3,114.65
171.6,4,36.3,13.65,1,2,176.83
150.0,1,25.8,0.2,1,3,156.17
114.4,3,21.4,2.65,1,3,173.15
119.3,1,0.7,20.58,1,1,41.04
84.9,3,27.8,8.65,0,3,100.23
119.4,1,8.6,10.64,1,4,185.14
109.9,4,6.3,16.07,0,3,127.89
131.3,5,11.9,15.57,1,4,186.43
91.0,1,1.4,12.23,1,3,122.8
138.2,3,21.2,8.33,1,3,201.24
173.6,3,13.1,7.5,1,1,120.96
116.2,3,3.1,16.86,1,2,138.78
134.1,2,3.1,14.43,1,4,153.57
144.2,3,3.1,7.94,0,5,203.94
106.0,3,0.9,18.66,1,3,156.48
127.8,4,13.3,8.97,1,1,104.38
120.4,3,27.5,3.19,0,2,104.25
123.4,1,0.3,3.93,0,3,85.72
92.9,2,0.8,2.17,1,3,129.08
120.9,4,12.8,7.82,1,1,177.67
137.4,1,25.7,19.87,0,5,128.81
170.8,4,5.9,3.56,1,3,181.56
153.6,2,6.5,11.51,1,5,183.29
195.4,1,13.6,4.75,1,4,174.98
93.1,5,4.8,7.92,0,4,128.56
150.5,6,0.4,0.2,1,3,248.39
126.4,1,19.9,8.24,0,3,90.36
196.6,7,14.7,8.45,1,3,289.2
91.7,4,13.0,14.32,0,3,113.91
90.6,3,20.3,11.79,1,3,122.44
99.0,3,16.9,0.41,1,5,178.4
45.7,1,3.5,18.67,0,4,81.3
101.6,3,6.5,11.68,1,4,174.31
93.4,3,2.0,11.59,1,4,156.82
125.3,1,2.1,9.93,1,2,143.3
132.0,1,16.9,5.86,1,1,113.1
185.7,2,29.3,11.74,1,3,197.77
153.3,4,49.3,13.8,0,3,138.29
99.8,6,14.8,0.2,1,4,203.99
88.6,3,3.1,5.69,1,3,133.85
137.2,3,1.7,7.96,1,3,162.32
73.8,2,25.1,12.05,0,3,60.67
184.1,1,13.0,19.55,0,1,130.96
161.3,1,14.4,3.83,1,3,218.55
103.6,2,22.8,6.02,1,4,183.55
60.0,6,18.2,5.9,0,2,76.47
167.4,6,27.0,3.59,1,3,267.13
116.0,3,0.9,7.22,0,3,139.76
163.3,3,20.6,16.17,0,2,157.94
64.2,2,28.5,1.57,0,2,55.98
99.0,5,5.1,13.42,1,5,184.39
120.2,3,15.3,0.2,0,3,172.39
121.6,2,5.7,5.51,0,2,86.18
104.2,2,47.5,7.36,1,2,121.47
141.8,2,0.5,23.4,1,3,172.07
82.6,3,13.0,7.8,1,3,121.86
115.0,1,2.7,0.2,1,3,197.95
124.2,6,18.7,0.2,1,1,170.84
138.0,4,2.9,10.27,1,4,220.76
144.9,6,4.0,14.91,1,3,127.08
80.6,2,10.2,13.0,1,3,176.45
66.3,5,36.9,11.34,1,3,158.08
164.7,2,3.6,19.3,0,3,138.21
131.6,3,2.3,5.68,0,4,120.77
93.8,6,21.3,17.16,1,5,177.11
174.3,6,10.4,0.2,1,3,207.41
124.0,5,36.4,2.76,1,4,209.47
161.3,4,2.4,0.2,0,4,239.68
122.4,3,15.6,7.8,0,5,147.36
192.1,1,4.0,9.63,0,2,201.27
181.4,4,2.6,10.91,1,3,237.76
111.3,3,17.3,10.5,0,2,143.44
154.0,4,13.5,2.58,1,4,222.27
142.6,2,21.1,8.48,0,1,74.87
167.9,2,5.6,0.2,1,3,237.38
86.2,4,8.9,20.91,0,3,89.15
144.0,4,7.8,7.57,1,3,147.69
157.0,1,62.1,6.09,0,3,174.92
58.4,2,5.2,22.71,0,4,130.37
78.6,4,5.2,0.2,1,3,155.51
48.6,2,6.6,1.0,1,4,189.9
110.6,3,12.5,1.23,0,2,141.88
145.1,5,4.4,9.46,1,3,185.85
172.6,2,37.0,13.45,1,3,144.01
122.6,2,4.6,15.92,1,1,152.08
177.0,2,33.9,30.58,1,3,101.8
71.7,2,1.6,0.2,1,3,155.1
60.4,4,16.0,14.87,1,3,83.34
118.1,2,35.6,5.54,1,4,140.97
133.4,2,2.8,5.31,1,3,200.0
118.9,3,51.8,5.04,0,1,90.19
47.6,2,9.0,2.73,0,2,64.62
116.9,2,43.7,23.48,0,3,111.95
74.3,2,16.9,16.74,1,2,119.08
143.4,5,5.4,10.19,0,1,170.94
132.8,4,3.1,20.81,1,3,130.04
87.1,4,5.4,0.2,1,3,148.15
102.0,4,1.5,0.2,0,3,167.78
82.9,4,2.3,0.2,0,4,174.3
117.8,4,1.7,4.4,0,3,137.77
153.4,1,8.2,11.29,0,3,167.08
85.5,1,23.8,10.82,1,4,114.0
137.6,4,2.3,11.19,1,3,126.51
101.4,1,2.1,0.2,0,3,106.74
92.2,4,15.5,16.43,1,3,106.88
116.3,1,3.3,11.92,1,1,96.38
83.8,2,1.5,15.86,0,3,148.26
100.6,2,2.7,0.2,0,3,150.77
78.1,1,38.6,12.49,1,5,83.71
188.8,4,25.8,0.5,0,4,243.46
121.2,7,6.6,6.82,0,3,181.09
95.5,3,16.0,14.27,0,2,102.46
127.5,4,11.6,10.73,1,2,168.81
116.1,5,17.0,3.19,1,3,219.68
112.3,3,17.2,10.05,1,3,142.35
141.5,2,14.9,0.2,1,2,216.43
146.5,3,4.6,19.2,1,3,181.13
101.4,2,0.6,8.36,1,2,100.73
99.8,2,9.1,18.95,1,5,201.24
110.4,4,33.2,5.79,0,2,137.02
39.4,1,12.6,5.81,1,5,82.64
67.0,5,26.8,3.89,0,5,205.05
167.8,2,71.7,17.01,0,3,183.21
177.6,3,2.7,4.32,1,4,230.92
111.3,6,17.7,15.16,0,3,132.2
140.2,3,16.8,6.94,1,3,168.21
130.9,3,58.6,0.2,1,3,183.33
227.8,7,63.6,5.44,0,3,290.15
159.2,3,17.4,0.57,1,3,221.34
115.5,1,4.2,10.27,0,3,122.7
86.6,1,24.0,0.48,1,3,167.98
63.8,3,1.7,17.41,0,2,57.27
127.1,1,22.8,9.27,1,3,165.07
93.5,2,36.2,8.58,0,1,61.66
70.2,1,7.2,15.25,1,1,64.37
97.4,3,14.9,17.71,0,2,82.74
82.1,1,8.4,9.84,0,1,60.23
179.0,2,8.6,3.83,1,2,180.02
150.9,4,5.6,0.2,0,4,257.74
119.7,3,21.5,4.51,1,1,108.74
171.8,4,41.3,5.06,0,3,166.94
122.7,2,42.4,10.86,1,2,175.46
89.9,2,2.9,7.24,0,4,161.68
173.3,3,31.2,15.5,0,3,87.75
138.9,1,20.1,5.1,1,3,138.36
83.7,2,4.4,9.54,1,3,63.55
113.3,4,1.0,19.47,1,3,109.95
89.4,6,4.7,12.73,0,3,48.15
71.6,4,36.5,9.52,1,2,93.13
152.4,1,15.0,5.18,1,5,164.19
186.8,4,19.2,4.93,0,3,214.35
71.1,4,4.5,3.2,1,3,94.87
139.7,1,19.1,5.67,0,4,160.54
97.2,5,0.4,16.05,1,3,132.01
103.0,2,7.1,8.22,1,4,195.33
99.3,1,14.8,0.2,0,3,168.86
89.8,4,2.4,24.15,1,4,145.82
121.7,3,26.0,12.56,1,2,115.17
90.9,3,4.0,0.2,0,4,219.79
129.5,6,15.8,6.47,1,4,164.9
118.2,4,7.8,10.89,0,2,91.37
111.6,7,13.6,23.64,0,2,120.91
88.2,3,1.7,1.14,1,3,221.52
99.8,2,0.3,17.81,1,5,136.13
146.4,3,36.0,21.2,0,2,100.64
137.5,2,4.7,4.97,1,3,128.98
85.8,5,25.7,7.78,1,1,141.71
123.5,4,110.1,1.71,0,3,153.06
146.3,3,3.6,8.37,1,3,205.0
61.6,5,4.6,9.71,0,5,128.8
139.0,3,16.3,15.28,1,3,130.67
96.8,1,50.5,18.72,1,4,48.61
140.0,3,37.1,4.02,1,3,172.89
93.3,7,10.5,0.2,0,1,121.47
56.8,3,23.8,9.83,0,3,48.68
63.0,2,2.2,12.35,0,3,70.75
121.7,5,56.9,12.0,1,5,161.25
129.1,2,50.0,7.39,1,4,135.66
88.3,4,2.7,11.0,1,2,137.84
142.4,1,5.3,22.12,1,2,110.27
61.8,3,1.6,13.05,1,2,79.41
117.7,7,4.8,7.01,0,5,224.73
77.6,3,25.4,6.0,1,4,106.66
97.2,5,7.1,8.64,0,4,165.74
121.7,6,1.4,23.09,1,3,160.42
89.9,5,6.3,8.53,0,3,97.34
106.5,4,59.8,9.84,1,3,157.62
155.2,3,14.9,6.14,1,2,146.93
99.8,4,8.1,18.79,1,3,128.54
149.2,1,2.7,25.68,1,1,125.77
80.5,7,64.2,13.6,1,2,138.02
138.5,2,25.8,10.66,1,4,164.31
170.5,4,5.0,10.29,1,4,209.27
33.5,1,1.1,0.2,0,3,109.17
92.1,1,0.9,15.96,0,3,108.59
140.2,7,1.9,11.07,0,3,179.96
112.9,4,13.0,13.43,1,4,138.38
133.0,5,39.6,4.31,0,4,123.64
98.9,1,10.3,6.92,1,4,143.25
123.0,5,27.8,6.71,1,4,187.28
114.6,1,8.9,18.17,1,2,127.87
160.9,2,18.5,6.97,1,3,189.8
128.9,1,19.7,26.66,1,3,133.63
131.8,4,2.9,13.45,1,3,146.48
105.6,3,6.7,0.2,1,4,216.75
102.9,1,15.2,8.97,0,3,91.44
104.9,3,1.1,4.79,0,2,154.7
133.8,2,6.7,0.2,0,3,124.42
105.3,2,11.5,22.8,0,5,123.54
130.1,1,83.7,15.63,1,2,15.67
192.6,3,9.7,14.27,0,3,180.61
150.5,2,25.4,11.32,0,3,157.6
108.6,3,8.5,0.2,1,1,123.5
162.0,3,23.9,6.13,1,3,157.86
105.7,5,13.6,16.73,0,4,171.34
48.7,6,32.7,1.59,1,3,132.53
84.7,3,7.9,0.2,0,4,138.62
54.5,5,13.9,8.18,1,2,109.46
107.7,2,14.9,8.87,1,1,182.64
120.6,2,8.1,11.08,1,5,206.36
178.7,4,2.3,15.83,1,3,234.08
131.4,3,1.5,15.1,0,3,154.73
112.3,2,0.3,12.07,0,4,144.56
149.0,1,31.0,19.56,1,3,49.92
42.6,5,4.0,0.2,1,4,133.2
128.2,3,3.6,14.04,0,2,111.31
147.0,4,20.0,15.01,0,2,83.82
68.2,1,5.8,0.2,1,2,68.48
160.0,3,10.6,0.2,1,4,164.81
131.8,4,2.7,4.03,0,2,162.92
105.5,2,48.2,4.71,0,4,153.07
142.1,2,28.6,16.03,1,5,199.54
199.5,2,29.9,5.08,1,3,221.36
126.4,4,7.8,3.15,0,3,145.4
128.7,5,21.6,5.11,0,3,116.44
103.9,2,2.3,18.95,1,3,58.89
90.3,2,0.1,10.1,1,3,85.81
149.1,4,0.3,8.57,0,3,156.02
90.0,1,13.3,9.12,1,5,134.81
122.5,3,9.1,20.34,1,5,129.18
103.3,1,10.9,4.01,1,4,159.3
136.8,2,0.1,20.52,1,4,143.08
131.7,2,8.2,11.68,0,3,137.33
156.3,1,19.0,8.72,1,3,194.97
102.1,4,8.8,30.01,0,4,66.91
110.6,5,19.8,1.55,1,3,194.24
85.7,1,4.0,7.17,1,5,145.26
104.4,4,25.2,0.2,1,3,157.47
133.2,1,13.3,17.62,0,3,137.41
146.5,6,3.6,23.51,0,4,203.01
87.7,5,4.1,23.36,1,5,118.36
150.4,1,14.8,19.79,0,2,97.99
167.4,5,26.6,8.42,0,4,218.06
134.5,1,8.1,7.08,0,3,132.66
185.7,4,4.5,0.2,1,2,245.36
92.9,2,30.3,26.29,0,4,81.92
76.4,1,16.6,13.75,1,3,140.45
57.7,3,8.9,6.06,1,3,67.67
172.4,3,10.0,20.62,0,3,152.64
142.9,6,3.4,2.22,1,3,196.81
118.1,1,14.8,13.25,1,3,139.04
129.8,3,6.7,8.62,1,3,117.44
80.6,5,81.5,15.11,0,2,76.33
205.6,1,9.8,9.49,0,5,201.94
124.5,3,10.0,0.2,1,3,159.1
123.8,4,12.5,10.6,0,4,122.9
145.4,2,37.3,18.39,1,3,114.75
136.8,3,24.2,9.77,1,3,192.49
127.8,7,9.0,16.2,0,3,171.51
92.3,1,19.0,1.64,1,3,146.1
136.5,3,13.2,9.79,1,3,215.05
185.9,3,10.2,5.0,1,3,226.01
167.1,1,3.2,15.98,0,3,130.37
175.8,1,9.4,10.25,1,2,176.32
102.1,2,4.2,15.52,0,3,89.44
85.4,2,36.9,18.7,0,2,37.93
115.6,6,6.1,15.53,1,2,106.98
122.0,1,45.6,12.18,0,5,157.07
158.3,3,11.4,2.01,1,3,191.31
60.8,3,15.0,9.98,1,3,108.64
173.5,4,11.7,5.74,0,3,172.54
